file_name,tp,fp,tn,fn,exp_part,Exploit Types,Minimum Time,train/test splits,Attack Link,catch_any
Vesperi004.csv,1,8,159,0,train,Price Manupilation,20/07/2021 2:37,Train,https://twitter.com/VesperFi/status/1455567032536248324,True
Vesperi005.csv,1,3,71,0,train,Price Manupilation,20/07/2021 1:38,Train,https://twitter.com/VesperFi/status/1455567032536248324,True
Warp001.csv,1,8,20,0,train,Flash Loan Attack,16/12/2020 18:21,Train,https://slowmist.medium.com/analysis-of-warp-finance-hacked-incident-cb12a1af74cc,True
Warp002.csv,1,22,27,0,train,Flash Loan Attack,16/12/2020 15:34,Train,https://slowmist.medium.com/analysis-of-warp-finance-hacked-incident-cb12a1af74cc,True
Wormhole001.csv,3,522,20382,0,train,Access Control,15/10/2021 17:37,Train,https://blog.chainalysis.com/reports/wormhole-hack-february-2022/,True
Zenith001.csv,1,10,202,0,train,Rug pull,02/10/2020 6:04,Train,https://defiyield.app/rekt-database/zenit,True
Zenith002.csv,1,11,97,0,train,Rug pull,18/10/2020 0:54,Train,https://defiyield.app/rekt-database/zenit,True
Zenith003.csv,1,17,155,0,train,Rug pull,03/02/2018 18:13,Train,https://defiyield.app/rekt-database/zenit,True
Zenith004.csv,1,25,223,0,train,Rug pull,14/11/2020 22:06,Train,https://defiyield.app/rekt-database/zenit,True
Zenith005.csv,1,159,1530,0,train,Rug pull,07/05/2020 18:36,Train,https://defiyield.app/rekt-database/zenit,True
Zenith006.csv,1,19,218,2,train,Rug pull,17/11/2017 15:20,Train,https://defiyield.app/rekt-database/zenit,True
dxHub001.csv,2,1,14,1,train,Rug pull,06/12/2020 4:28,Train,https://defiyield.app/rekt-database/dxhub,True
0xhabitat001.csv,1,12,46,0,validation,Phishing,17/03/2021 12:11,Validation,https://blog.gnosis.pm/the-0xhabitat-multisig-got-drained-an-analysis-16ab74ddf42,True
Armor001.csv,0,2,13,10,validation,Phishing,28/02/2021 0:20,Validation,https://defiyield.app/rekt-database/armor,False
AscendEX001.csv,92,910,2566,0,validation,Access Control,01/12/2021 0:18,Validation,https://medium.com/hapi-labs/ascendex-hack-analysis-d0f1b0544763,True
